1,21280021,Nguyen Quoc,An,Male,26/5/2003,79403001201
2,21280022,Quach Phong,Binh,Male,16/9/2003,79403003202
3,21280023,Nguyen Le Ngoc,Duy,Male,3/4/2003,1403000563
4,21280024,Tran Nguyen Nhat,Duong,Male,16/8/2003,23403006504
5,21280025,Dao Thi Bich,Giang,Female,19/4/2003,79303050005
6,21280026,Nguyen Xuan,Hai,Male,21/4/2003,79403200006
7,21280027,Le Viet,Han,Male,30/9/2003,79403005507
8,21280030,Cao Minh,Khoi,Male,12/3/2003,68403000108
9,21280028,Le Thi My,Thi,Female,18/5/2003,79303000209
10,21280029,Nguyen Nhat,Trung,Male,16/7/2003,1403000210
