1,21127011,Hoang Hai,Anh,Male,16/5/2003,079403050030
2,21127012,Huynh Tan,Dat,Male,11/4/2003,079403020031
3,21127013,Ngo Truong Minh,Dai,Male,16/9/2003,025403001032
4,21127014,Nguyen Minh Hoang,Giang,Male,19/11/2003,079403200033
5,21127015,Phu Chi,Hung,Male,3/8/2003,002403000034
6,21127016,Tran Tien,Khoa,Male,3/2/2003,032403003035
7,21127017,Nguyen Nhat,Khiem,Male,2/8/2003,073403200036
8,21127018,Duong Vi,Lam,Female,3/9/2003,054403000537
9,21127019,Nguyen Trung,Manh,Male,18/4/2003,079403000038
10,21127020,Huynh Viet,Nhat,Male,16/6/2003,079403700039
