21APCS1,1,21280021,Nguyen Quoc,An,Male,0,26/5/2003,079403001201
21APCS1,2,21280022,Quach Phong,Binh,Male,0,16/9/2003,079403003202
21APCS1,3,21280023,Nguyen Le Ngoc,Duy,Male,0,3/4/2003,001403000563
21APCS1,4,21280024,Tran Nguyen Nhat,Duong,Male,0,16/8/2003,023403006504
21APCS1,5,21280025,Dao Thi Bich,Giang,Female,0,19/4/2003,079303050005
21APCS1,6,21280026,Nguyen Xuan,Hai,Male,0,21/4/2003,079403200006
21APCS1,7,21280027,Le Viet,Han,Male,0,30/9/2003,079403005507
21APCS1,8,21280030,Cao Minh,Khoi,Male,0,12/3/2003,068403000108
21APCS1,9,21280028,Le Thi My,Thi,Female,0,18/5/2003,079303000209
21APCS1,10,21280029,Nguyen Nhat,Trung,Male,0,16/7/2003,001403000210
